PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID
1,3/19/2019,7:07:04 PM,1,1,"Delmore, Jack",1000058610,Right,CAL_BEA,"Munoz, Jacob",1000059780,Left,SAN_DON,Undefined,1,Top,0,0,0,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,84.5670537252787,-3.5070443593302,-3.86895951818586,1559.33145288372,236.263081141549,2:00,6.23638851452773,1.42591541416359,5.95493360966012,-28.1522751337583,10.9452309267653,16.4438374770237,0.626899441638311,-0.796780292344791,77.678633316466,-8.75546981493247,-0.775772719091029,0.450034746380707,,,,,,,,,,,,-9.96770687970742,6.89637941376962,-1.12776564364323,50,5.9414043527969,7.79294816477712,-122.620600936991,-8.38767814145585,-15.1739155628511,24.2793042504763,-21.6756380216098,CAL_BEA,SAN_DON,CalBerkeley,D1,PAC12,20190319-CalBerkeley-1,db725101-4ab4-11e9-b157-302432607227
2,3/19/2019,7:07:18 PM,1,2,"Delmore, Jack",1000058610,Right,CAL_BEA,"Munoz, Jacob",1000059780,Left,SAN_DON,Undefined,1,Top,0,1,0,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.3773556834261,-1.97052941664389,-2.93848353040145,1548.86061876629,209.934585466926,1:00,6.25995631221001,1.4549483201149,5.91883144041066,-25.0983087615568,14.4234951296261,8.32686429126099,2.33685548386113,-0.580145391502461,76.5517258012645,-6.69290530167583,-1.3643933455779,0.452470112720592,,,,,,,,,,,,-5.41492268774393,8.41611780554379,-1.22449137948295,50,6.08796334101424,6.03702330312182,-122.526872158668,-4.98204662451384,-8.14449690961511,26.6063013754625,-19.5155030127698,CAL_BEA,SAN_DON,CalBerkeley,D1,PAC12,20190319-CalBerkeley-1,e3e441ff-4ab4-11e9-b157-302432607227
3,3/19/2019,7:07:35 PM,1,3,"Delmore, Jack",1000058610,Right,CAL_BEA,"Munoz, Jacob",1000059780,Left,SAN_DON,Undefined,1,Top,0,1,1,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.1142564201925,-1.79513724202608,-3.01975772617938,1511.31649887103,222.78901258797,1:30,6.23464646991506,1.43438895409019,5.8439650707559,-27.4849880712696,11.6417366305333,10.8102730586023,2.27331898378736,-0.473321729506745,76.8838734309334,-6.97187735397626,-0.973571615155596,0.450202876644401,,,,,,,,,,,,-6.81955054601533,6.87314860700069,-1.19502583742836,50,6.07260291077612,6.18370108680645,-123.542209601903,-4.72551123646418,-10.3759151064702,28.1798578888038,-21.716584244202,CAL_BEA,SAN_DON,CalBerkeley,D1,PAC12,20190319-CalBerkeley-1,eda1858e-4ab4-11e9-b157-302432607227
4,3/19/2019,7:07:52 PM,1,4,"Delmore, Jack",1000058610,Right,CAL_BEA,"Munoz, Jacob",1000059780,Left,SAN_DON,Undefined,1,Top,0,1,2,ChangeUp,Undefined,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,82.7605270125851,-1.22815770130388,-1.71812985080579,1374.69610025298,216.515153111685,1:15,6.27158752910158,1.44876369952487,5.95976713224996,-29.3364651133388,11.4068038624401,8.47362231100427,2.68747074187985,0.561403617015113,75.501583265934,-6.74265894258052,-0.116990883025594,0.459408952325875,,,,,,,,,,,,-5.09506360613782,6.53863272218893,-1.31729814315295,50,6.15785446310839,3.35929073306303,-120.373011448435,-3.45223792204025,-7.43120477219236,24.6624327828758,-22.6373827864076,CAL_BEA,SAN_DON,CalBerkeley,D1,PAC12,20190319-CalBerkeley-1,f80a6822-4ab4-11e9-b157-302432607227
5,3/19/2019,7:08:23 PM,2,1,"Delmore, Jack",1000058610,Right,CAL_BEA,"Villaroman, Tyler",8901589,Right,SAN_DON,Undefined,1,Top,1,0,0,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,85.802392561359,-2.04123871536073,-4.02490411256779,1664.39283771645,218.437569994615,1:15,6.35914050783945,1.2633285854487,5.80508214967831,-26.0352438172489,12.0190141877583,9.56738867086473,2.28592949078241,-1.68823911923739,78.7273337351226,-6.8970041627929,-2.23393910479956,0.44398995800761,,,,,,,,,,,,-6.24052054733581,7.01712147729889,-0.938683518897399,50.0000000000001,6.1758648733755,8.45858027321868,-124.530535963501,-5.27623660756504,-9.8179428501776,24.5712742693817,-21.1343128301718,CAL_BEA,SAN_DON,CalBerkeley,D1,PAC12,20190319-CalBerkeley-1,0a2db1c4-4ab5-11e9-b157-302432607227
6,3/19/2019,7:08:38 PM,2,2,"Delmore, Jack",1000058610,Right,CAL_BEA,"Villaroman, Tyler",8901589,Right,SAN_DON,Undefined,1,Top,1,1,0,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.3195346856367,-1.90902450505189,-2.69761833029301,1559.41392406759,198.009575989537,12:30,6.37505185823836,1.28834390345466,5.86640614367509,-24.7076158899904,13.4913768234661,4.39778341775581,2.54033740381564,-0.852603714829427,78.5080040021717,-6.51890500307357,-1.87326596852198,0.444833487410551,,,,,,,,,,,,-3.08387002684707,7.76951376930846,-1.07258822194864,50,6.20602117273691,5.70659556459823,-124.041315306033,-4.9136388977803,-4.82561184389445,23.8017349944471,-20.0163838883095,CAL_BEA,SAN_DON,CalBerkeley,D1,PAC12,20190319-CalBerkeley-1,137fb22f-4ab5-11e9-b157-302432607227
7,3/19/2019,7:08:53 PM,2,3,"Delmore, Jack",1000058610,Right,CAL_BEA,"Villaroman, Tyler",8901589,Right,SAN_DON,Undefined,1,Top,1,1,1,Slider,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,79.6720830003926,-1.87152734615552,-2.81850930270652,1853.19921240696,141.016922459872,10:45,6.22627715288353,1.33400846699373,5.73243163597652,-38.7985038571086,5.63435792115966,-4.59366816045813,1.24766640748857,-1.67536806208183,73.1738874890076,-9.08085506811398,-3.68027276785062,0.479759586131514,,,,,,,,,,,,1.63792452488029,3.57625837260725,-1.09649105643368,50.0000000000001,6.0466502140056,5.83348528848142,-115.717265051483,-4.93859406903483,2.20871193996525,22.7003891618479,-27.3515280751795,CAL_BEA,SAN_DON,CalBerkeley,D1,PAC12,20190319-CalBerkeley-1,1c7be347-4ab5-11e9-b157-302432607227
8,3/19/2019,7:09:15 PM,2,4,"Delmore, Jack",1000058610,Right,CAL_BEA,"Villaroman, Tyler",8901589,Right,SAN_DON,Undefined,1,Top,1,2,1,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,85.4632366642365,-2.21352115405485,-3.49557242494945,1576.87918252893,200.552202186919,12:45,6.53330892019107,1.10216653951309,5.82628491367123,-22.6921323628357,15.7825539642537,5.930813099724,2.57994473748324,-1.65680883714431,77.9949347291918,-6.45960032345441,-2.38150035985402,0.446435849926755,,,,,,,,,,,,-4.20299329960904,9.13911183776951,-0.820164841807132,50,6.33895883692353,7.39189739490708,-124.056894719222,-5.51618289666846,-6.52644837284006,25.6506075934511,-17.9827478973591,CAL_BEA,SAN_DON,CalBerkeley,D1,PAC12,20190319-CalBerkeley-1,257f3aac-4ab5-11e9-b157-302432607227
9,3/19/2019,7:09:31 PM,2,5,"Delmore, Jack",1000058610,Right,CAL_BEA,"Villaroman, Tyler",8901589,Right,SAN_DON,Undefined,1,Top,1,3,1,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.535328791124,-1.61647100232809,-2.05994448777048,1575.9640835887,217.217742042559,1:15,6.26627209603081,1.15942127120617,5.87181391185401,-24.6000868306887,13.8101650271065,10.5166574526344,2.71365254204504,0.121880804693922,77.68533190575,-6.24282819803883,-0.0730586282605994,0.446061864930094,,,,,,,,,,,,-6.30739212286267,7.95159160072175,-0.999008872128972,50,6.12141401461256,4.14489136233226,-124.318519380237,-4.27461783713849,-9.78150572254991,27.0323898195735,-19.8427177574601,CAL_BEA,SAN_DON,CalBerkeley,D1,PAC12,20190319-CalBerkeley-1,334499b8-4ab5-11e9-b157-302432607227
10,3/19/2019,7:09:48 PM,2,6,"Delmore, Jack",1000058610,Right,CAL_BEA,"Villaroman, Tyler",8901589,Right,SAN_DON,Undefined,1,Top,1,3,2,Fastball,Undefined,InPlay,Undefined,GroundBall,Out,1,0,,86.1853298522316,-1.0363455752424,-2.85900170838087,1537.27291049005,222.668546142779,1:30,6.36359641248694,1.17106624289027,5.82643835576008,-24.9905560290804,13.1294394752686,12.1351966574972,3.31645269520194,-0.47734064837029,77.7591443863953,-5.7509964530941,-0.563095703390031,0.444373281677135,89.1338110037183,-14.8330186693919,15.6457503811315,,,,,13.061424707919,12.6442379303727,16.3810435157593,0.0953155517578125,-7.47050697329525,7.4226696116144,-0.944746578842605,50,6.26436767714612,5.86968765742962,-125.159496412131,-3.05117691584968,-11.6763624816887,28.7144120142686,-20.5724556154369,CAL_BEA,SAN_DON,CalBerkeley,D1,PAC12,20190319-CalBerkeley-1,3d8e7f9d-4ab5-11e9-b157-302432607227
