PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID
1,4/5/2019,7:05:06 PM,1,1,"Sabouri, Arman",10000681,Left,CAL_BEA,"Plew, Dillon",10000507,Right,WAS_COU,Undefined,1,Top,0,0,0,Fastball,Undefined,InPlay,Undefined,GroundBall,Single,0,0,,86.5805461202667,-0.146357860592448,4.8599998101174,1838.62187668791,121.201548829522,10:00,4.60196559778357,-3.26656117321787,5.39978135031353,-29.8674132037432,8.24816581172397,-13.6776803054998,1.97538869915291,0.1581845048912,78.9322935007433,-5.69990785086578,2.31665124065011,0.444347538933991,91.2981790752593,1.05863071619351,-1.1686779737163,863.028544093528,,,,59.1145391233147,55.5211029808575,-2.18094984690959,0.458511352539063,8.62372330253954,4.41376751670849,2.84236213402283,50,4.5682386957018,-10.2024677963743,-125.486953629714,-1.34215894447344,13.7321631219603,25.7163691940217,-25.1456950952286,CAL_BEA,WAS_COU,CalBerkeley,D1,PAC12,20190405-CalBerkeley-1,66c0ca56-5810-11e9-b168-302432607227
2,4/5/2019,7:05:40 PM,2,1,"Sabouri, Arman",10000681,Left,CAL_BEA,"Sinatro, Danny",10000491,Right,WAS_COU,Undefined,1,Top,0,0,0,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,88.4641522717303,0.050448814185075,3.65528330181364,1722.29413202523,130.569074522606,10:15,4.7914318178546,-2.93813754998301,5.69883104298341,-22.8681106751905,13.3793024755573,-15.6667685239103,2.93285670175066,-0.833316911647243,79.9397869287599,-4.25179776663642,0.707126724390127,0.433321289958272,,,,,,,,,,,,9.53241662106641,7.16786675228603,2.64106235317086,49.9999999999999,4.78159685265447,-7.68504929986136,-128.403302927527,-0.64251089994298,15.7593493692634,29.0084739048772,-20.3238618858267,CAL_BEA,WAS_COU,CalBerkeley,D1,PAC12,20190405-CalBerkeley-1,7970b692-5810-11e9-b168-302432607227
3,4/5/2019,7:06:03 PM,2,2,"Sabouri, Arman",10000681,Left,CAL_BEA,"Sinatro, Danny",10000491,Right,WAS_COU,Undefined,1,Top,0,0,1,Slider,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,78.8104181008308,2.39841071029447,2.1774778180125,2385.02897042352,267.288110381186,3:00,4.64515489863691,-3.26055819741739,4.9393638471404,-46.3957326220155,0.506083271491159,11.6153448844776,3.04828274939908,-0.233925608397014,71.7248759614457,-6.17555374101567,4.32803874469956,0.492908545057143,,,,,,,,,,,,-5.41444767791938,-0.455443007898919,3.03979129109333,50,4.84093000867655,-4.73218410694582,-114.312142926007,3.25054301503865,-7.11048751756185,22.5522253321054,-32.7721560671619,CAL_BEA,WAS_COU,CalBerkeley,D1,PAC12,20190405-CalBerkeley-1,82635ef3-5810-11e9-b168-302432607227
4,4/5/2019,7:06:23 PM,2,3,"Sabouri, Arman",10000681,Left,CAL_BEA,"Sinatro, Danny",10000491,Right,WAS_COU,Undefined,1,Top,0,1,1,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,88.8237388488512,0.25595933062825,5.1410280186393,1869.05627896627,136.102302147506,10:30,4.97306379232559,-2.86909188833484,5.81149780633921,-20.1261902329341,15.8121557701795,-15.2476681674044,3.53482713325186,0.653106690992702,80.1126446652259,-3.53690866509226,2.27387800024773,0.431469956731504,,,,,,,,,,,,9.79718974788751,8.44497326565356,2.45625499064524,50,4.98223373640711,-11.0831268705515,-128.69266916667,-0.0765085784018309,16.2710402488718,29.1261287282425,-18.1487511556402,CAL_BEA,WAS_COU,CalBerkeley,D1,PAC12,20190405-CalBerkeley-1,943f2700-5810-11e9-b168-302432607227
5,4/5/2019,7:06:44 PM,2,4,"Sabouri, Arman",10000681,Left,CAL_BEA,"Sinatro, Danny",10000491,Right,WAS_COU,Undefined,1,Top,0,2,1,Fastball,Undefined,InPlay,Undefined,Bunt,Out,1,0,,89.5799542734485,-0.414991395682866,4.10427738463727,1860.97500416217,139.087630212376,10:45,5.01414917064116,-2.86560360481043,5.81176038756726,-20.2155829995759,14.8401104959115,-12.8890794043172,2.94267421802762,-0.1171422708109,81.3753244786409,-4.21418018793797,1.68320281256233,0.426138526530786,,,,,,,,,,,,8.13032424238015,8.10941156602672,2.53682422209121,50,4.96813795279188,-8.90530794299921,-130.026519197002,-1.61058678577911,13.8615121615183,28.3173767214985,-18.3481907315611,CAL_BEA,WAS_COU,CalBerkeley,D1,PAC12,20190405-CalBerkeley-1,9d3b5939-5810-11e9-b168-302432607227
6,4/5/2019,7:07:26 PM,3,1,"Sabouri, Arman",10000681,Left,CAL_BEA,"Alvarez, Andres",10000492,Right,WAS_COU,Undefined,1,Top,1,0,0,Slider,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.0083644327107,1.88258323979834,2.7618970243176,2445.23122512107,280.25936697151,3:15,4.71196885277732,-3.04027572728231,5.06310536286706,-51.6748504939611,-2.69044883481882,14.6100412882264,2.18339281979672,0.783248234827946,70.3038406440336,-7.66307423350927,5.46999780395874,0.503733022402383,,,,,,,,,,,,-6.82486862757088,-1.98792124113602,2.76672963121458,50,4.85105042476878,-5.85315093553005,-111.692935866454,2.03116221135523,-8.5401255031032,21.8914065510131,-34.6615831620055,CAL_BEA,WAS_COU,CalBerkeley,D1,PAC12,20190405-CalBerkeley-1,b81352dd-5810-11e9-b168-302432607227
7,4/5/2019,7:07:45 PM,3,2,"Sabouri, Arman",10000681,Left,CAL_BEA,"Alvarez, Andres",10000492,Right,WAS_COU,Undefined,1,Top,1,0,1,Splitter,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,80.6146290481032,0.632317225249423,3.47029731315899,1248.75063285412,103.498178914455,9:30,4.41564504536392,-3.25925775042447,5.00935223507697,-41.9674394246289,2.69333853904929,-11.3950635696083,1.5162403914674,-0.929676433235998,73.429355471153,-7.12648984934811,1.35670189417874,0.480988463914418,,,,,,,,,,,,6.98810569154272,1.22306587285727,2.93525987477196,50,4.44332650679821,-6.70687266819655,-116.924694467073,-0.12037212181341,9.61821037786368,23.2362337717419,-30.4906588954292,CAL_BEA,WAS_COU,CalBerkeley,D1,PAC12,20190405-CalBerkeley-1,c105fa4d-5810-11e9-b168-302432607227
8,4/5/2019,7:08:04 PM,3,3,"Sabouri, Arman",10000681,Left,CAL_BEA,"Alvarez, Andres",10000492,Right,WAS_COU,Undefined,1,Top,1,1,1,Splitter,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.9258869851707,1.65017254773073,4.49261143861952,1087.02535767736,58.3214074015864,8:00,4.51928331656654,-3.28441873695229,5.12844187259807,-51.5071504921071,-6.98641163340386,-11.2535908383488,1.78619306181795,0.017123356438931,73.3238420233866,-7.91036511901694,2.3977960711582,0.480233773987335,,,,,,,,,,,,7.33785886691208,-4.19798041233229,2.87083218702469,50,4.63575450865849,-8.8336956045627,-117.151313441971,1.68684113724085,10.0719001275338,24.6806307739256,-37.9361707527309,CAL_BEA,WAS_COU,CalBerkeley,D1,PAC12,20190405-CalBerkeley-1,d01b7104-5810-11e9-b168-302432607227
9,4/5/2019,7:08:27 PM,3,4,"Sabouri, Arman",10000681,Left,CAL_BEA,"Alvarez, Andres",10000492,Right,WAS_COU,Undefined,1,Top,1,1,2,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,90.9244274419807,0.422879463156647,5.67796286387273,1855.46741571306,139.420737345189,10:45,4.74708152066693,-2.84437018619906,5.74567741570179,-19.8675280342877,14.6171922255216,-12.5470446501447,3.4870683216884,1.4131302895424,81.8856375167945,-3.31588997490732,3.32452570299339,0.422653891514788,,,,,,,,,,,,8.51317277965391,7.73174206713455,2.37924892072354,50,4.77034813850693,-12.6622558689476,-131.591153140993,0.309130697827466,14.7648663634712,30.7623835755665,-18.7644606938532,CAL_BEA,WAS_COU,CalBerkeley,D1,PAC12,20190405-CalBerkeley-1,dbddf3bb-5810-11e9-b168-302432607227
10,4/5/2019,7:08:52 PM,3,5,"Sabouri, Arman",10000681,Left,CAL_BEA,"Alvarez, Andres",10000492,Right,WAS_COU,Undefined,1,Top,1,2,2,Fastball,Undefined,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,89.9518820113809,0.428946984100122,4.53122577027525,1901.97988237397,127.849721018054,10:15,4.79267493813163,-2.88410872907831,5.57130062257111,-24.1804763292017,11.3122089504387,-14.6004536451682,3.1795186723358,0.140020711007801,80.7599587873979,-4.12097489942567,1.7864923669509,0.428786345909713,,,,,,,,,,,,9.27989448165039,5.9156382811789,2.50288720606801,50,4.81415816798047,-9.83076227878087,-130.334369237986,0.153657330354162,15.7173081476586,31.3189008726529,-22.154763322183,CAL_BEA,WAS_COU,CalBerkeley,D1,PAC12,20190405-CalBerkeley-1,ecf3e4b9-5810-11e9-b168-302432607227
